pid,Sex,Age
001,Female,32
002,Female,58
003,Female,44
004,Female,45
006,Male,50
007,Female,39
008,Male,49
009,Male,50
010,Male,45
011,Male,51
012,Male,61
013,Male,33
014,Male,49
015,Male,53
016,Female,35
018,Male,46
020,Female,40
021,Female,54
022,Female,50
024,Male,37
025,Female,33
026,Female,55
027,Female,54
028,Female,59
029,Male,54
030,Female,34
031,Female,26
033,Female,31
034,Female,47
036,Male,50
037,Male,25
039,Female,29
040,Female,38
041,Female,26
042,Female,44
043,Female,24
044,Male,48
046,Male,35
047,Female,53
048,Male,60
049,Female,29
050,Female,41
051,Female,46
052,Male,58
053,Male,41
054,Female,61
055,Female,59
056,Male,29
058,Female,43
059,Female,29
060,Female,57
061,Female,50
062,Female,27
063,Female,52
064,Female,41
065,Female,38
067,Male,35
068,Male,48
069,Female,41
070,Female,37
072,Female,56
073,Male,38
074,Male,31
075,Male,64
076,Female,48
077,Male,49
078,Female,40
079,Male,55
080,Male,36
081,Female,47
082,Female,34
083,Female,56
084,Male,62
085,Female,64
087,Female,46
089,Female,54
090,Male,60
091,Female,36
093,Female,58
094,Male,62
096,Male,34
097,Male,43
098,Male,26
099,Male,53
100,Male,50
101,Female,36
102,Male,31
104,Female,34
105,Female,57
106,Female,55
107,Female,57
108,Male,38
109,Female,41
110,Male,48
111,Male,48
113,Male,34
114,Male,22
115,Female,59
116,Male,33
117,Female,62
118,Female,42
119,Female,47
120,Female,38
121,Female,42
124,Female,56
126,Male,57
127,Male,42
129,Female,41
130,Male,37
132,Male,35
133,Male,35
134,Male,40
136,Female,30
137,Female,57
139,Male,39
140,Male,25
143,Male,57
144,Female,60
145,Female,64
146,Female,41
147,Female,39
149,Female,24
150,Male,25
152,Male,30
153,Female,23
154,Female,32
156,Female,49
157,Female,43
158,Female,27
160,Female,29
161,Female,45
162,Female,36
163,Female,31
165,Female,35
166,Female,49
167,Male,56
168,Female,33
169,Female,23
170,Male,53
171,Male,53
172,Female,35
173,Male,55
174,Female,63
175,Male,47
176,Male,53
178,Female,55
179,Female,32
180,Male,41
181,Male,31
182,Female,38
183,Male,35
184,Male,39
185,Male,39
186,Male,44
187,Male,56
189,Female,47
190,Male,45
192,Male,38
193,Male,46
194,Female,39
195,Female,56
197,Female,46
198,Male,32
202,Male,25
203,Female,22
204,Female,24
205,Male,57
207,Female,45
208,Male,46
210,Male,38
211,Male,28
212,Female,38
214,Female,35
215,Male,50
216,Female,61
217,Female,47
218,Female,53
221,Female,34
223,Male,43
224,Female,64
225,Female,54
226,Female,34
227,Female,58
228,Female,38
229,Male,40
230,Female,32
231,Male,21
232,Female,29
234,Female,33
236,Male,31
237,Female,46
238,Male,61
239,Female,52
240,Male,58
241,Female,27
242,Male,48
243,Male,45
244,Male,38
245,Male,46
246,Male,21
247,Female,43
248,Male,53
251,Female,45
252,Female,19
253,Male,64
255,Female,32
256,Female,30
257,Female,48
259,Male,47
260,Female,23
261,Female,48
262,Male,47
264,Female,37
265,Male,37
266,Male,41
267,Male,43
268,Female,42
269,Male,35
270,Male,47
271,Male,54
272,Female,46
273,Female,35
274,Male,22
276,Female,24
277,Male,54
278,Male,33
279,Male,42
280,Male,49
282,Male,61
283,Female,32
284,Male,34
286,Male,48
287,Female,48
289,Female,54
290,Female,53
293,Female,45
294,Male,54
295,Female,54
297,Female,29
299,Male,36
303,Male,53
304,Female,30
305,Male,26
307,Male,34
308,Female,35
309,Female,26
310,Male,39
313,Male,58
314,Male,53
315,Female,26
316,Male,32
317,Male,35
319,Male,44
320,Male,56
321,Male,42
322,Female,30
323,Male,54
324,Male,22
325,Male,53
326,Female,52
327,Male,64
328,Female,57
330,Male,52
332,Male,33
335,Female,35
336,Male,20
339,Male,28
340,Female,58
342,Male,32
344,Female,37
347,Male,28
348,Male,42
349,Male,42
350,Male,44
351,Male,45
352,Female,35
353,Female,31
354,Female,33
355,Female,32
356,Female,22
357,Female,32
359,Female,29
360,Female,30
361,Male,37
362,Male,36
363,Male,39
364,Male,35
365,Female,32
366,Female,32
369,Female,38
370,Male,51
371,Female,36
373,Male,40
374,Female,24
375,Female,31
376,Male,44
377,Male,56
379,Female,43
382,Female,33
383,Female,22
